Title,Type,Year,Display,Youtube URL,Image
Dire Straits - Brothers In Arms (Official Music Video),Music Video,2025,TRUE,https://youtu.be/jhdFe3evXpk?si=W-U_CNOY4Ms0E7RC,
Dire Straits - Sultans Of Swing (Alchemy Live),Music Video,2024,TRUE,https://youtu.be/8Pa9x9fZBtY?si=Sdg1puMjv5lTJTNw,
"Dire Straits - Solid Rock (Palais des Sports, Paris, 18.6.1981)",Music Video,2023,TRUE,https://youtu.be/9go7Zgr1Q2E?si=xT33_qjpr-Mhzev_,
"Dire Straits - Tunnel Of Love (Old Grey Whistle Test, 29.11.1980)",Music Video,2022,TRUE,https://youtu.be/ESLvD8WuJdE?si=787z4Fp0EQMuDHSf,
